Clean Songs Only!!
Format: Song Title, Artist

Fallen Star, The Neighbourhood
Poison, Brent Faiyez
Adventure of a Lifetime, Coldplay
seasons, wave to earth
A Mother's Love, MasterSwordRemix, Noteblock, MyNewSoundtrack
Deadwood, Really Slow Motion

So Good, Weston Estate
Eight, IU
For Ever, Baby Monster
Black Parade, My Chemical Romance
Mr. Brightsie (clean), The Killers
Johnny B Good, Chuck Berry 
Baby Shark, Pink Fong 
One of the Girls, The Weekend, JENNIE and Lilly Rose Depp


Faded, Alan Walker
A Cold Sunday (Clean), Lil Yachty
Never Tell, Luke Chiang

Let It Happen, Tame Impala
Bad Habits, Ed Sheeran
Leave The Door Open, Bruno Mars
Party In The U.S.A., Miley Cyrus
Walking On A Dream, Empire Of The Sun

Happy, Pharrell Williams
Can't Stop the Feeling!, Justin Timberlake
Uptown Funk, Mark Ronson ft. Bruno Mars
Shut Up and Dance, Walk the Moon
Good as Hell, Lizzo
Wake Me Up, Avicii
On Top of the World, Imagine Dragons
Shake It Off, Taylor Swift
Dynamite, BTS
High Hopes, Panic! At The Disco

Perfect Night, LE SSERAFIM

EASY, LE SSERAFIM
